iter	PRAUC	Logloss	PRAUC:use_weights=true	PRAUC:use_weights=false
62	0.9053217837	0.4885866813	0.9053217837	0.7171895043
63	0.9065724097	0.4862892863	0.9065724097	0.7190598633
64	0.9061534166	0.4860184859	0.9061534166	0.7182267717
65	0.9080664114	0.4840060348	0.9080664114	0.7227279971
66	0.9083492172	0.4836164634	0.9083492172	0.7235140403
67	0.9127957772	0.4783888993	0.9127957772	0.7333875678
68	0.9127957378	0.4780612583	0.9127957378	0.733339413
69	0.914084216	0.4744257692	0.914084216	0.7352895812
70	0.9159674437	0.4724246925	0.9159674437	0.7392680938
71	0.9155309777	0.4722708889	0.9155309777	0.7382320753
72	0.9173684098	0.4692219817	0.9173684098	0.7429098077
73	0.9172924216	0.4690729465	0.9172924216	0.7427921192
74	0.9196871068	0.4659073782	0.9196871068	0.7488213108
75	0.9215900226	0.4637136681	0.9215900226	0.7538148392
76	0.9219799918	0.4633069525	0.9219799918	0.7547409979
77	0.9224700027	0.4615320293	0.9224700027	0.7564547016
78	0.9234504992	0.460126001	0.9234504992	0.7589198183
79	0.9251271228	0.4570204363	0.9251271228	0.7636985455
80	0.9253492335	0.4555394913	0.9253492335	0.7645480863
81	0.9254329952	0.4553253655	0.9254329952	0.7647877958
82	0.9283762531	0.4518841944	0.9283762531	0.7716763942
83	0.9283334744	0.4518652013	0.9283334744	0.7716508787
84	0.9284120934	0.4517866814	0.9284120934	0.7719771656
85	0.9295694944	0.4496881969	0.9295694944	0.7752694259
86	0.9301051857	0.4478728796	0.9301051857	0.7761037711
87	0.9326624918	0.4442704039	0.9326624918	0.7832819749
88	0.9338927137	0.441353016	0.9338927137	0.785309676
89	0.936047962	0.4383092166	0.936047962	0.7908451383
90	0.9359351145	0.4378936566	0.9359351145	0.7901656414
91	0.9360564945	0.4370905791	0.9360564945	0.7901967706
92	0.9363078922	0.4359986288	0.9363078922	0.7905337281
93	0.9362929621	0.4356579263	0.9362929621	0.7904007814
94	0.9382288486	0.4314242556	0.9382288486	0.7952637032
95	0.9384148006	0.4305205418	0.9384148006	0.7953886672
96	0.940966238	0.4259909053	0.940966238	0.8014837869
97	0.9420748422	0.4239286489	0.9420748422	0.8038517014
98	0.9434285017	0.422097732	0.9434285017	0.8069815817
99	0.9445788115	0.4201747862	0.9445788115	0.8097586033
100	0.9460565834	0.4183328392	0.9460565834	0.8147033588
101	0.9469214549	0.4161119709	0.9469214549	0.8169015516
102	0.9479442645	0.4127826074	0.9479442645	0.819448274
103	0.9486006755	0.4117191045	0.9486006755	0.8211951381
104	0.949366177	0.4103185719	0.949366177	0.82314285
105	0.949487154	0.409816299	0.949487154	0.8233962205
106	0.9500509667	0.4080999619	0.9500509667	0.8246711773
107	0.9515753498	0.4062351722	0.9515753498	0.8300112091
108	0.9524147913	0.4036681009	0.9524147913	0.8325608501
109	0.9528672807	0.4020692124	0.9528672807	0.8337492075
110	0.9549020415	0.3981482983	0.9549020415	0.8401583829
111	0.9558255355	0.3967718718	0.9558255355	0.8425092787
112	0.9559254527	0.3963674916	0.9559254527	0.8429890324
113	0.9567852403	0.3950890943	0.9567852403	0.845714296
114	0.9585291352	0.392624166	0.9585291352	0.8506126423
115	0.9603005899	0.3897314185	0.9603005899	0.8555285256
116	0.9607683027	0.388369255	0.9607683027	0.8567700761
117	0.96110698	0.3869357459	0.96110698	0.857674962
118	0.9611133995	0.3864085337	0.9611133995	0.857531003
119	0.9620300632	0.3837915555	0.9620300632	0.8598304495
120	0.9628280189	0.3822392903	0.9628280189	0.8629277318
121	0.9639496163	0.380356988	0.9639496163	0.8667000426
122	0.9651601853	0.377304448	0.9651601853	0.8711379852
123	0.9660680222	0.3753341116	0.9660680222	0.8740643188
124	0.966995625	0.3734359777	0.966995625	0.8774295468
125	0.9674733355	0.3706502128	0.9674733355	0.8784522284
126	0.9698368464	0.3664786706	0.9698368464	0.8860484407
127	0.9713460467	0.3628825016	0.9713460467	0.8908699164
128	0.9715269005	0.3612390498	0.9715269005	0.8914360583
129	0.972128218	0.3585983239	0.972128218	0.893616149
130	0.9736850862	0.3546213276	0.9736850862	0.8985580264
131	0.974565011	0.3530606937	0.974565011	0.901683034
132	0.9753501627	0.3512415278	0.9753501627	0.9045722484
133	0.9763499503	0.3486013014	0.9763499503	0.9082586573
134	0.9767801439	0.3472290775	0.9767801439	0.9097095428
135	0.977999351	0.3437176023	0.977999351	0.9134748468
136	0.9784480832	0.3423714587	0.9784480832	0.9150305098
137	0.9791985258	0.3396253671	0.9791985258	0.9175130874
138	0.979521986	0.3384887489	0.979521986	0.9184653155
139	0.9802012488	0.3358884552	0.9802012488	0.9209334769
140	0.9808786075	0.333187777	0.9808786075	0.9231624732
141	0.981364067	0.3321590319	0.981364067	0.9249067961
142	0.9816630339	0.3308288034	0.9816630339	0.925937444
143	0.9820118961	0.3287359526	0.9820118961	0.9270444858
144	0.9831418697	0.3252650879	0.9831418697	0.9311037677
145	0.9837767545	0.322906416	0.9837767545	0.9338531934
146	0.9840131826	0.3218047016	0.9840131826	0.9346089856
147	0.9848963766	0.3180188324	0.9848963766	0.9376825987
148	0.9853546911	0.3163081386	0.9853546911	0.9395904243
149	0.9860351781	0.3129909817	0.9860351781	0.9422220137
